context,id,artist,title,x_norm,y_norm,z_norm,x_role_0_3,y_crowd_0_2,z_fit_0_10,membership,dominant_context,mean_confidence,bpm,key,duration,genre
warm-up,1,"DJ Tennis, Joseph Ashworth, LP Giobbi",All In A Dream feat. DJ Tennis feat. Joseph Ashworth (Extended Mix),0.3333,0,0.8,1,0,8,core,afterglow,8.333,120.00,7A,06:08,Melodic House & Techno
warm-up,8,"Todd Terry, A-Trak",DJs Gotta Dance More feat. Todd Terry (Extended),0,0,0.8,0,0,8,core,afterglow,8.333,120.00,10A,04:44,House
warm-up,11,Climbers,Equal Responsibility (Betoko Remix),0.3333,0.5,0.7,1,1,7,edge,afterglow,8.167,120.00,12A,07:36,Deep House
warm-up,15,Stereoclip,Feel The Game (Extended Remix),0.3333,0.5,0.8,1,1,8,core,pool-party,8,125.00,1A,05:31,Melodic House & Techno
warm-up,20,Texture,Hit The Ground  (Extended Mix),0.3333,0.5,0.8,1,1,8,core,sunrise-reset,8,122.00,6A,04:00,House
warm-up,25,"Fred Falke, Elohim, Mansions on the Moon",It's A Memory (Amtrac Remix),0.5,0.25,0.8,1.5,0.5,8,core,afterglow,8.429,124.00,2A,06:47,Electronica
warm-up,26,"Dusky, Janai",It's Not Enough feat. Janai (Original Mix),0.3333,0.5,0.8,1,1,8,core,afterglow,8.143,123.00,4A,06:49,Deep House
warm-up,28,"Bantwanas, Khonaye",Izolo feat. Khonaye (Lost Desert & Lee Burridge Remix),0.3333,0.5,0.8,1,1,8,core,sunrise-reset,8.143,120.00,9A,08:24,Organic House / Downtempo
warm-up,29,The Dead Rose Music Company,Just a Bitter Love,0.4444,0.4375,0.8,1.3333,0.875,8,core,afterglow,8.571,109.33,6A,07:55,House
warm-up,31,Frank Ocean,Lost,0.4706,0.5,0.8,1.4118,1,8,core,afterglow,8.429,123.00,6A,03:54,Pop
warm-up,32,"Joi Cardwell, Jon Dasilva, Maceo Plex",Love Somebody Else Feat. Joi Cardwell (Original Mix),0.3333,0.5,0.8,1,1,8,core,afterglow,9,123.00,12B,08:18,Deep House
warm-up,33,Marcus Worgull,Love Song (Original Mix),0.3333,0.5,0.8,1,1,8,core,afterglow,8.167,124.00,8A,06:27,Indie Dance
warm-up,34,CIOZ,Lucky Shot (Original Mix),0.1765,0.25,0.6,0.5294,0.5,6,edge,afterglow,8,122.00,7A,08:14,Deep House
warm-up,41,Eli & Fur,Night Blooming Jasmine (Original Mix),0.3333,0.5,0.7,1,1,7,edge,afterglow,8.4,120.00,4A,03:46,Deep House
warm-up,60,"Agoria, Rami Khalife, Noémie",Teardrops (Don't Stop The Music) (Original Mix),0.3333,0.5,0.7,1,1,7,edge,afterglow,7.875,124.00,5B,06:09,Melodic House & Techno
warm-up,66,Eli & Fur,Walk The Line (Extended Mix),0.3333,0.5,0.8,1,1,8,core,sunrise-reset,8,123.00,9A,04:56,Melodic House & Techno
warm-up,68,Mario Basanov,We Are Child Of Love (The Mekanism Remix),0.1667,0.25,0.8,0.5,0.5,8,core,afterglow,8,120.00,12A,06:25,Deep House
warm-up,72,J. Koen,Where the Subtle Meets Infinity (Original Mix),0.6667,0.5,0.8,2,1,8,core,festival-brunch,8,123.00,1A,05:47,Deep House
pool-party,3,Disclosure,Boiling (feat. Sinead Harnett),0.3182,0.5,0.8,0.9545,1,8,core,afterglow,7.625,128.00,11A,03:46,Electronic
pool-party,8,"Todd Terry, A-Trak",DJs Gotta Dance More feat. Todd Terry (Extended),0,0,0.8,0,0,8,core,afterglow,8.333,120.00,10A,04:44,House
pool-party,10,40 Thieves,Don’t Turn It Off feat. Qzen (Session Victim Extended Remix),0.5,0.5,0.7,1.5,1,7,edge,afterglow,8,124.00,8A,06:47,
pool-party,12,"Kaskade, deadmau5, Kx5",Escape feat. Hayla (Extended Mix),0.6863,0.5,0.6,2.0588,1,6,edge,afterglow,7.833,126.00,8A,05:14,Dance / Pop
pool-party,13,"Charlotte Cardin, RUSH AVENUE",Feel Good (feat. Charlotte Cardin) [Remix] (feat. Charlotte Cardin),0.3333,0.5,0.7,1,1,7,edge,afterglow,7.6,120.00,11A,03:28,Afro House
pool-party,15,Stereoclip,Feel The Game (Extended Remix),0.3333,0.5,0.8,1,1,8,core,pool-party,8,125.00,1A,05:31,Melodic House & Techno
pool-party,17,Midland,Final Credits (Original Mix),0.7083,0.2813,0.7,2.125,0.5625,7,edge,afterglow,8.125,133.00,4A,07:20,House
pool-party,18,Daft Punk,Give Life Back to Music (Original Mix),0.5467,0.2778,0.8,1.64,0.5556,8,core,afterglow,8.714,119.05,8A,04:35,Dance / Pop
pool-party,20,Texture,Hit The Ground  (Extended Mix),0.3333,0.5,0.8,1,1,8,core,sunrise-reset,8,122.00,6A,04:00,House
pool-party,22,"Kaskade, deadmau5",I Remember (Original Mix),0.6863,0.7353,0.8,2.0588,1.4706,8,core,afterglow,8.429,128.00,10A,09:07,Dance / Pop
pool-party,24,Hana,Illusory (Extended Mix),0.6667,0.5333,0.8,2,1.0667,8,core,afterglow,7.667,132.00,1A,05:59,Melodic House & Techno
pool-party,25,"Fred Falke, Elohim, Mansions on the Moon",It's A Memory (Amtrac Remix),0.5,0.25,0.8,1.5,0.5,8,core,afterglow,8.429,124.00,2A,06:47,Electronica
pool-party,29,The Dead Rose Music Company,Just a Bitter Love,0.4444,0.4375,0.8,1.3333,0.875,8,core,afterglow,8.571,109.33,6A,07:55,House
pool-party,32,"Joi Cardwell, Jon Dasilva, Maceo Plex",Love Somebody Else Feat. Joi Cardwell (Original Mix),0.3333,0.5,0.8,1,1,8,core,afterglow,9,123.00,12B,08:18,Deep House
pool-party,35,FKJ,Lying Together,0.4706,0,0.8,1.4118,0,8,core,sunrise-reset,8.833,102.00,2A,04:28,
pool-party,37,Floyd Lavine,Masala (Pablo Fierro Remix),0.6863,0.5,0.8,2.0588,1,8,core,sunrise-reset,8.5,125.00,7A,06:58,Afro House
pool-party,39,Solomun,Never Sleep Again (Keinemusik Remix),0.3333,0.2333,0.8,1,0.4667,8,core,sunrise-reset,8.167,120.00,6A,07:12,Melodic House & Techno
pool-party,40,"Justice, Tame Impala",Neverender (Extended),1,0.5,0.8,3,1,8,core,sunrise-reset,8.6,119.00,11A,06:43,Indie Dance
pool-party,43,Duke Dumont,Ocean Drive (Extended Mix),0.3333,0.5,0.9,1,1,9,core,pool-party,8.75,115.00,1A,04:39,Dance / Pop
pool-party,46,"Stereoclip, DIM KELLY",Preach The World (Original Mix),0.7083,0.2647,0.8,2.125,0.5294,8,core,sunrise-reset,8.429,122.00,12A,05:17,Organic House / Downtempo
pool-party,47,Alex Virgo,Promiscuous [AV Edit],0.3333,0.5,0.8,1,1,8,core,afterglow,9.5,126.00,3A,05:36,
pool-party,54,"Maverick Sabre, Jorja Smith",Slow Down (James Cole Remix),0.3333,0.75,0.8,1,1.5,8,core,afterglow,8.333,126.00,9A,06:58,Deep House
pool-party,56,Royksopp,Sordid Affair (Maceo Plex Mix),0.3333,0.2941,0.8,1,0.5882,8,core,sunrise-reset,8.667,123.00,3A,07:58,Tech House
pool-party,57,TENSHU,Stones Throw (Original Mix),0.3333,0.5,0.7,1,1,7,edge,afterglow,8,126.00,8A,05:13,UK Garage / Bassline
pool-party,62,"Outkast, Sleepy Brown",The Way You Move (Original Mix),0.6667,0.5,0.9,2,1,9,core,pool-party,8.833,126.00,5A,03:54,Trap / Future Bass
pool-party,63,Perrez,There's Never Been (No One Like You)(P's Sunrise Edit),0.3333,0.5,0.9,1,1,9,core,pool-party,8.25,117.72,10B,05:42,
pool-party,66,Eli & Fur,Walk The Line (Extended Mix),0.3333,0.5,0.7,1,1,7,edge,sunrise-reset,8,123.00,9A,04:56,Melodic House & Techno
pool-party,69,Portrait,What Can I Do,0.3333,0,0.8,1,0,8,core,pool-party,8,122.00,8A,02:25,
pool-party,70,Ben Pearce,What I Might Do,0.6471,0.5,0.9,1.9412,1,9,core,afterglow,9.2,122.00,5A,03:14,Dance
pool-party,72,J. Koen,Where the Subtle Meets Infinity (Original Mix),0.6667,0.5,0.8,2,1,8,core,festival-brunch,8,123.00,1A,05:47,Deep House
festival-brunch,3,Disclosure,Boiling (feat. Sinead Harnett),0.3182,0.5,0.6,0.9545,1,6,edge,afterglow,7.625,128.00,11A,03:46,Electronic
festival-brunch,8,"Todd Terry, A-Trak",DJs Gotta Dance More feat. Todd Terry (Extended),0,0,0.8,0,0,8,core,afterglow,8.333,120.00,10A,04:44,House
festival-brunch,20,Texture,Hit The Ground  (Extended Mix),0.3333,0.5,0.7,1,1,7,edge,sunrise-reset,8,122.00,6A,04:00,House
festival-brunch,57,TENSHU,Stones Throw (Original Mix),0.3333,0.5,0.7,1,1,7,edge,afterglow,8,126.00,8A,05:13,UK Garage / Bassline
festival-brunch,62,"Outkast, Sleepy Brown",The Way You Move (Original Mix),0.6667,0.5,0.8,2,1,8,core,pool-party,8.833,126.00,5A,03:54,Trap / Future Bass
festival-brunch,63,Perrez,There's Never Been (No One Like You)(P's Sunrise Edit),0.3333,0.5,0.8,1,1,8,core,pool-party,8.25,117.72,10B,05:42,
festival-brunch,66,Eli & Fur,Walk The Line (Extended Mix),0.3333,0.5,0.6,1,1,6,edge,sunrise-reset,8,123.00,9A,04:56,Melodic House & Techno
festival-brunch,72,J. Koen,Where the Subtle Meets Infinity (Original Mix),0.6667,0.5,0.8,2,1,8,core,festival-brunch,8,123.00,1A,05:47,Deep House
afterglow,1,"DJ Tennis, Joseph Ashworth, LP Giobbi",All In A Dream feat. DJ Tennis feat. Joseph Ashworth (Extended Mix),0.3333,0,1,1,0,10,core,afterglow,8.333,120.00,7A,06:08,Melodic House & Techno
afterglow,2,Andre Nickatina,Ayo for Yayo (feat. San Quinn),0.6667,0.75,1,2,1.5,10,core,afterglow,8.4,128.48,10A,03:14,Hip-Hop/Rap
afterglow,3,Disclosure,Boiling (feat. Sinead Harnett),0.3182,0.5,0.9,0.9545,1,9,core,afterglow,7.625,128.00,11A,03:46,Electronic
afterglow,4,Sucre Sale,Bye Bye Les Fraises feat. Sashe (Heinrichs & Hirtenfellner Remix),0.3111,0.5,1,0.9333,1,10,core,afterglow,7.8,123.00,3A,07:43,Tech House
afterglow,5,"Shimza, Mikhaela Faye",Calling Out Your Name (Original Mix),0.3333,0,1,1,0,10,core,afterglow,8.167,123.00,1A,07:01,Afro House
afterglow,6,Caribou,Can't Do Without You (Tale Of Us & Mano Le Tough Remix),0.3333,0.5,1,1,1,10,core,afterglow,8.6,128.00,8A,07:37,Electronica
afterglow,7,"Monique Bingham, Black Coffee",Deep in the Bottom (of Africa),0.6863,0.5,0.8,2.0588,1,8,core,sunrise-reset,8.4,128.00,5A,06:33,Afro House
afterglow,8,"Todd Terry, A-Trak",DJs Gotta Dance More feat. Todd Terry (Extended),0,0,0.9,0,0,9,core,afterglow,8.333,120.00,10A,04:44,House
afterglow,9,rusowsky & Ralphie Choo,Dolores,0.3137,0.4706,1,0.9412,0.9412,10,core,afterglow,8.667,122.00,10A,03:38,Pop
afterglow,10,40 Thieves,Don’t Turn It Off feat. Qzen (Session Victim Extended Remix),0.5,0.5,0.9,1.5,1,9,core,afterglow,8,124.00,8A,06:47,
afterglow,11,Climbers,Equal Responsibility (Betoko Remix),0.3333,0.5,1,1,1,10,core,afterglow,8.167,120.00,12A,07:36,Deep House
afterglow,12,"Kaskade, deadmau5, Kx5",Escape feat. Hayla (Extended Mix),0.6863,0.5,0.8,2.0588,1,8,core,afterglow,7.833,126.00,8A,05:14,Dance / Pop
afterglow,13,"Charlotte Cardin, RUSH AVENUE",Feel Good (feat. Charlotte Cardin) [Remix] (feat. Charlotte Cardin),0.3333,0.5,0.8,1,1,8,core,afterglow,7.6,120.00,11A,03:28,Afro House
afterglow,14,Eli & Fur,Feel The Fire (Journeyman Remix),0.5098,0.4706,1,1.5294,0.9412,10,core,afterglow,8.667,120.00,7A,06:27,Deep House
afterglow,15,Stereoclip,Feel The Game (Extended Remix),0.3333,0.5,0.8,1,1,8,core,pool-party,8,125.00,1A,05:31,Melodic House & Techno
afterglow,16,"Oliver Koletzki, Jake The Rapper",Fifty Ways To Love Your Liver (Original Mix),0.6471,0.5,0.9,1.9412,1,9,core,afterglow,8.333,105.00,8A,05:04,Deep House
afterglow,17,Midland,Final Credits (Original Mix),0.7083,0.2813,1,2.125,0.5625,10,core,afterglow,8.125,133.00,4A,07:20,House
afterglow,18,Daft Punk,Give Life Back to Music (Original Mix),0.5467,0.2778,1,1.64,0.5556,10,core,afterglow,8.714,119.05,8A,04:35,Dance / Pop
afterglow,19,Glass Animals,Gooey (Original Mix),0.2917,0,0.9,0.875,0,9,core,afterglow,8.5,91.50,10A,04:49,Dance / Pop
afterglow,20,Texture,Hit The Ground  (Extended Mix),0.3333,0.5,0.8,1,1,8,core,sunrise-reset,8,122.00,6A,04:00,House
afterglow,21,Dua Lipa,Houdini (Adam Port Mix),0.3333,0.5,0.8,1,1,8,core,sunrise-reset,8.5,119.00,6A,03:22,Dance / Pop
afterglow,22,"Kaskade, deadmau5",I Remember (Original Mix),0.6863,0.7353,0.9,2.0588,1.4706,9,core,afterglow,8.429,128.00,10A,09:07,Dance / Pop
afterglow,23,Quantic,I Won't Fade Away feat. Alice Russell (Original Mix),0.6667,0.5208,0.9,2,1.0417,9,core,afterglow,8.286,125.00,9A,03:48,UK Garage / Bassline
afterglow,24,Hana,Illusory (Extended Mix),0.6667,0.5333,0.8,2,1.0667,8,core,afterglow,7.667,132.00,1A,05:59,Melodic House & Techno
afterglow,25,"Fred Falke, Elohim, Mansions on the Moon",It's A Memory (Amtrac Remix),0.5,0.25,0.9,1.5,0.5,9,core,afterglow,8.429,124.00,2A,06:47,Electronica
afterglow,26,"Dusky, Janai",It's Not Enough feat. Janai (Original Mix),0.3333,0.5,0.9,1,1,9,core,afterglow,8.143,123.00,4A,06:49,Deep House
afterglow,27,"Emanuele Esposito, Gianni Romano",It's Not Right (Original Mix),0.3333,0.2778,0.9,1,0.5556,9,core,sunrise-reset,9.2,123.00,5A,06:22,Afro House
